year,month,day,hour,min,area,property,death,death_fireman,injury,injury_fireman,missing,detail,where,longtitude,latitude,reason,province,type,reason2,GDP,rank_G,killed_injured,id
2008,3,8,3,15,130,1,3,,,,,电线短路,广东省惠州市博罗县龙溪镇礼村村民私人三层住宅楼,114.085061,23.113845,电气（电线）,广东,住宅,电气（电线）,36796.71,1,3,00025
2008,3,23,23,50,2500,24.7,3,,,,,该屯10号居民住宅灶堂余火未及时熄灭引燃周围可燃物造成,广西壮族自治区柳州市三江县林溪乡茶溪村上孔屯,109.67622,25.978855,遗留火种,广西,住宅,遗留火种,7021,19,3,00026
2008,3,26,4,31,428,27,8,,,,,人为放火,河北省唐山市路北区西山道与学院路南海加油站对面秀丽姿美容院,118.163942,39.643268,人为,河北,公共,人为（纵火）,16011.97,6,8,00027
2008,3,31,0,15,100,11.9,4,,,,,外来火种引燃大厅内可燃物所致，但不排除人为放火嫌疑,江苏省无锡市太湖大道和长江北路交界处的金海里浴室,120.337063,31.576006,外来火种,江苏,公共,外来火种,30981.98,2,4,00028
2008,4,10,4,21,40,0.296,3,,,,,遗留烟头,山东省济南市天桥区福康街10号旁保洁员赵某的住房,117.016028,36.671906,吸烟,山东,住宅,吸烟,30933.28,3,3,00029
2008,4,17,23,,133,17.5,3,,,,,电视机插头与插座接触不良产生电弧引燃周围可燃物所致,福建省泉州市晋江市英林镇英林村一幢三层民房,118.585078,24.635284,电气（电线）,福建,住宅,电气（电线）,10823.01,13,3,00030
2008,4,19,6,20,20,2.4,3,,,,,电气线路故障,湖南省长沙市宁乡县煤炭坝镇煤城路沙子坡临街门面“文明批发部”,112.394971,28.249338,电气（电线）,湖南,公共,电气（电线）,11555,10,3,00031
2008,4,30,19,5,500,0.8006,3,,1,,,院落住户用火不慎引燃废旧纸壳等可燃物，在6-7级大风作用下使火势迅速蔓延所致,新疆喀什地区喀什市夏马勒巴格乡十村一组一村民住宅院落,75.97033,39.468286,用火不慎,新疆,住宅,用火不慎,4183.21,25,4,00032
2008,5,6,2,35,56.7,2.5,3,,,,,使用蚊香不当,福建省泉州市泉港区后龙镇土坑村金燕食杂店,118.942504,25.165887,用火不慎,福建,公共,用火不慎（蚊香）,10823.01,13,3,00033
2008,5,18,4,30,146,2,3,,1,,,生活用火不慎,贵州省遵义市习水县永安镇润南村胡家沟组一村民家,106.401046,28.283104,用火不慎,贵州,住宅,用火不慎,3561.56,26,4,00034
2008,5,20,22,,100,2.5,4,,,,,电气线路故障,浙江省舟山市岱山县秀山乡小欢喜40号废品收购站居住房,122.183419,30.201457,电气（电线）,浙江,住宅,电气（电线）,21462.69,4,4,00035
2008,5,21,2,48,387,,6,,13,,,电线短路,浙江省义乌市稠城街道联平村陶界岭的一饰品加工厂,120.099631,29.346498,电气（电线）,浙江,工厂,电气（电线）,21462.69,4,19,00036
2008,5,30,0,36,,14,5,,1,,,放火,山西省大同市南郊区鑫海木线厂,113.326888,40.096505,人为,山西,工厂,人为（纵火）,7315.4,17,6,00037
2008,6,2,0,56,82,41,3,,,,,遗留火种,湖南省常德市武陵区小平摩托修配店,111.69745,28.996871,遗留火种,湖南,公共,遗留火种,11555,10,3,00038
2008,6,11,3,9,180,24.2,6,,1,,,电线短路,海南省三亚市红旗街120号兴家电器商行,109.514514,18.24396,电气（电线）,海南,公共,电气（电线）,1503.06,28,7,00039
2008,6,14,1,43,450,8.5,3,,1,,,电气线路短路,广东省揭阳市普宁市占陇镇占苏村南切围片一村民住宅,116.272621,23.300224,电气（电线）,广东,住宅,电气（电线）,36796.71,1,4,00040
2008,6,15,22,11,29.6,0.3811,6,,2,,,使用电子气体打火机点烟不慎引燃可燃物起火成灾,黑龙江省双鸭山市尖山区福寿星老年公寓,131.161566,46.636256,用火不慎,黑龙江,住宅,用火不慎,8314.37,16,8,00041
2008,6,29,3,26,50,0.8,4,,,,,饭店内操作间存放的液化石油气瓶泄漏遇明火发生轰燃所致,北京市通州区马驹桥镇辛屯村137号“麦地那”拉面馆,116.554035,39.76296,泄漏,北京,公共,泄漏,11115,12,4,00042
2008,6,30,3,30,240,35.6,3,,,,,移动冰柜插头与插座接触不良产生电弧引燃周围可燃物所致,福建省龙岩市新罗区雁石镇雁江村沿河路3-5号一民宅,116.97211,25.032818,电气（电线）,福建,住宅,电气（电线）,10823.01,13,3,00043
2008,7,5,4,19,5841,4128.1,,,,,,人为纵火,海南省海口市琼山区府城镇振兴路78号红塔卷烟有限责任公司卷烟厂,110.351738,19.995549,人为,海南,工厂,人为（纵火）,1503.06,28,0,00044
2008,7,8,2,42,150,3.8,3,,,,,敬神祭祖用火不慎,云南省文山州马关县马白镇兴隆办事处河边村10号,104.410124,23.007845,用火不慎,云南,公共,用火不慎,5692.12,24,3,00045
2008,7,11,12,40,92,3.5,3,,,,,小孩玩火,浙江省乐清市乐成镇朋岙村阳春南路101弄11号一民房,120.965279,28.102999,小孩玩火,浙江,住宅,小孩玩火,21462.69,4,3,00046
2008,7,13,13,40,40,0.08,3,,,,,刑事放火,贵州省六盘水市水城县南开乡凉山村12组,105.01655,26.816804,人为,贵州,住宅,人为（纵火）,3561.56,26,3,00047
2008,7,17,12,22,4100,1300,3,3,1,1,,不明原因,上海市奉贤区雷盛塑料包装有限公司半成品仓库,121.560642,30.915122,原因不明,上海,工厂,原因不明,14069.86,7,4,00048
2008,7,21,2,12,180,39.6,3,,,,,电表短路,福建省南平市建瓯市徐墩镇徐墩村归宗路一民宅,118.246652,27.143773,电气（电线）,福建,住宅,电气（电线）,10823.01,13,3,00049
2008,7,27,1,50,100,3.6,4,,,,,故意放火,江苏省盐城市滨海县正红镇复兴居委会6组一民房,119.920075,33.872044,人为,江苏,住宅,人为（纵火）,30981.98,2,4,00050
2008,8,12,21,50,85,5.1,3,,,,,生活用火不慎,四川省凉山州普格县大坪乡堡里村3社一村民家,102.594704,27.339627,用火不慎,四川,住宅,用火不慎,12601.23,9,3,00051
2008,8,15,3,40,170,7.6,6,,6,,,烘烤箱故障过热,广东省惠州市惠东县黄埠镇龟山洋鞋业经济区欣盛作坊,114.965852,22.772691,电气（电器）,广东,住宅,电气（电器）,36796.71,1,12,00052
2008,8,21,4,15,28,4.8,3,,,,,该商铺内的雕刻机东南部遗留火种引燃可燃物蔓延成灾所致,四川省成都市金牛区沙湾路206号商铺内,104.057484,30.694705,遗留火种,四川,公共,遗留火种,12601.23,9,3,00053
2008,8,25,3,38,6,0.05,5,,1,,,遗留火种,山西省大同市浑源县大磁窑镇大磁窑村一居民家,113.742579,39.646373,遗留火种,山西,住宅,遗留火种,7315.4,17,6,00054
2008,9,5,2,42,76,11.2,3,,,,,电气线路短路,河南省项城市西大街与工业路交叉口处的雷纳克自行车店,114.904821,33.450601,电气（电线）,河南,公共,电气（电线）,18018.53,5,3,00055
2008,9,9,8,30,2546,355.7,5,,,,,火灾系违章电焊引燃起火点处彩钢板内聚苯板所致,内蒙古自治区包头市东河区巴彦塔拉西大街鑫垣机械制造有限责任公司综合楼,110.017545,40.58989,违章操作,内蒙古,公共,违章操作,8496.2,15,5,00056
2008,9,10,2,40,1100,52.7,5,,,,,电气线路短路,广东省揭阳市东山区东升世纪名家私商场,116.376783,23.566531,电气（电线）,广东,公共,电气（电线）,36796.71,1,5,00057
2008,9,13,3,12,,3,4,,,,,起火原因不明,江西省宁都县梅江镇新庄村一组一居民住宅,116.03341,26.46515,原因不明,江西,住宅,原因不明,6971.05,20,4,00058
2008,9,20,22,48,,27.1,44,,64,,,表演时自制道具手枪向上方发射烟花弹，烟花弹爆炸产生的火星引燃顶棚吸音海绵（聚氨酯泡沫塑料）蔓延成灾,广东省深圳市龙岗区舞王俱乐部,114.347696,22.657462,作业不慎,广东,公共,作业不慎,36796.71,1,108,00737
2008,9,24,7,15,106,0.9,3,,,,,照明线路故障发热,广东省惠州市惠城区桥西街道办事处花边岭南路17号裕昌装饰材料商行一层,114.418533,23.080179,电气（电线）,广东,公共,电气（电线）,36796.71,1,3,00059
2008,10,21,14,51,23,2.6,3,,,,,遗留火种,广东省佛山市南海区九江镇朗星村委会陈教村燕庭公二巷2号住宅,113.045692,22.829535,遗留火种,广东,住宅,遗留火种,36796.71,1,3,00060
2008,10,29,5,54,15.3,2.4,4,,,,,人为纵火,浙江省衢州市柯城区荷花街道龙城花苑54幢502室,118.877846,28.953192,人为,浙江,住宅,人为（纵火）,21462.69,4,4,00061
2008,11,4,2,10,200,21.9,4,,,,,不能排除外来火源或刑事放火的因素,新疆维吾尔自治区乌鲁木齐市水磨沟区东八家户康宁四巷盈家沙发厂,87.611475,43.869002,原因不明,新疆,工厂,原因不明,4183.21,25,4,00062
2008,11,8,3,7,,1,3,,1,,,使用电加热器具不慎,江西省南昌市青云谱区曙光小区一栋居民楼,115.93307,28.658264,用火不慎,江西,住宅,用火不慎,6971.05,20,4,00063
2008,11,14,6,12,,3.6,4,,,,,通电的热得快放置在床上高温引燃可燃物引发火灾,上海市徐汇区中山西路2271号商学院宿舍楼602室,121.435642,31.188396,用火不慎,上海,住宅,用火不慎,14069.86,7,4,00064
2008,11,22,4,20,,44.7,8,,17,,,电线短路,山西省吕梁市离石区金田商务大厦,111.313142,37.552339,电气（电线）,山西,公共,电气（电线）,7315.4,17,25,00065
